grapherId,slug,chartType,md5,svgFilename
5066,covid-variants-area,StackedArea,5535c25604689f157c5d8e8ba0fade9b,covid-variants-area_v665_850x600.svg
5608,share-democracies-autocracies-row,StackedArea,fbe4473a1448a63498d421272ef99bec,share-democracies-autocracies-row_v26_850x600.svg
5854,cumulative-exoplanets-by-method,StackedArea,34e5514384c82925bbfb8fb88c9ee293,cumulative-exoplanets-by-method_v27_850x600.svg
6048,distribution-of-population-poverty-thresholds-2011-ppp,StackedArea,3fa98013e6edeae5add2b2fe9f5af800,distribution-of-population-poverty-thresholds-2011-ppp_v42_850x600.svg
5699,people-living-in-democracies-autocracies-amb-row,StackedArea,90cb18b38c518430443ec84fda4ecd61,people-living-in-democracies-autocracies-amb-row_v49_850x600.svg
5451,people-living-in-democracies-autocracies,StackedArea,8277d8323d5a78d2d1ff7583a217f14f,people-living-in-democracies-autocracies_v42_850x600.svg
6244,employer-new-artificial-intelligence-phds-stacked-area,StackedArea,75a360f849e6fa851b46fe567ee5fc30,employer-new-artificial-intelligence-phds-stacked-area_v33_850x600.svg
6412,share-of-countries-with-woman-head-of-government,StackedArea,0b69213671702882ae0b0c0d6be478a2,share-of-countries-with-woman-head-of-government_v30_850x600.svg
6415,people-living-in-countries-with-woman-head-of-government,StackedArea,c3a3fa0b249a2949507b05a39a7c0522,people-living-in-countries-with-woman-head-of-government_v41_850x600.svg
5600,the-number-of-active-state-based-conflicts,StackedArea,8524a7212f2d082e938e07ba94028fe6,the-number-of-active-state-based-conflicts_v7_850x600.svg
5801,share-long-standing-democracies-polity,StackedArea,83d446c487130bed258ad2a10563b53f,share-long-standing-democracies-polity_v43_850x600.svg
5717,share-democracies-nondemocracies-fh,StackedArea,62e07bf4c3562ae0c7fafb54eeeaa9bd,share-democracies-nondemocracies-fh_v37_850x600.svg
5929,share-of-population-living-in-extreme-poverty-cost-of-basic-needs,StackedArea,860e9e1c5f6928704bb6114382c8aad7,share-of-population-living-in-extreme-poverty-cost-of-basic-needs_v12_850x600.svg
6307,child-deaths-by-world-region-un-data,StackedArea,5f82f81307d6017d3a692cd19d551ae8,child-deaths-by-world-region-un-data_v3_850x600.svg
5316,fish-catch-gear-type,StackedArea,0ad0c2331c1667aed125b34f262c320b,fish-catch-gear-type_v4_850x600.svg
5772,share-long-standing-polyarchies-lied,StackedArea,103dbc7dc4ed6b860aaba0b4a5745209,share-long-standing-polyarchies-lied_v39_850x600.svg
5786,share-free-countries-fh,StackedArea,01354a444b0140f4466a5c1cf1c1fbd4,share-free-countries-fh_v40_850x600.svg
5329,new-vehicles-type-area,StackedArea,e4caf2d3eef280f5c4ceb1ee84cefed1,new-vehicles-type-area_v6_850x600.svg
5927,distribution-of-population-between-different-poverty-thresholds-historical,StackedArea,ca1a640e6b42d1cdd3db62daf1198c40,distribution-of-population-between-different-poverty-thresholds-historical_v9_850x600.svg
5140,fish-landings-and-discards,StackedArea,be188f092a9e42e20fe7975e75567e9a,fish-landings-and-discards_v4_850x600.svg
4862,gdp-world-regions-stacked-area,StackedArea,0029a48eb7a990169affa7616eefba54,gdp-world-regions-stacked-area_v9_850x600.svg
6399,share-of-countries-with-universal-suffrage,StackedArea,0a22b5e4177203a8979eaf998f367463,share-of-countries-with-universal-suffrage_v10_850x600.svg
5718,people-living-in-democracies-nondemocracies-fh,StackedArea,a02f09725df0b6547ad34dfe27d176a9,people-living-in-democracies-nondemocracies-fh_v47_850x600.svg
5720,people-living-in-free-countries-fh,StackedArea,a6517604272071ca0ca204abc7e67d1f,people-living-in-free-countries-fh_v47_850x600.svg
4655,drivers-forest-loss-brazil-amazon,StackedArea,62e508f7a020b065825a0590fd52c5c9,drivers-forest-loss-brazil-amazon_v5_850x600.svg
5928,share-of-population-living-in-extreme-poverty-historical,StackedArea,ffb7ec776b453866c34d6a419d16c80a,share-of-population-living-in-extreme-poverty-historical_v11_850x600.svg
4813,food-emissions-life-cycle,StackedArea,597499883280676359acb1cdd49995c7,food-emissions-life-cycle_v11_850x600.svg
5767,share-democracies-autocracies-lied,StackedArea,60de260266a0f69f2e0143e6db35196b,share-democracies-autocracies-lied_v36_850x600.svg
5705,people-living-in-democracies-nondemocracies-womsuffr-bmr,StackedArea,f12cbd16516e1b7caee8316d0b856ac8,people-living-in-democracies-nondemocracies-womsuffr-bmr_v47_850x600.svg
4876,distribution-of-population-between-different-poverty-thresholds-up-to-30-dollars,StackedArea,81735dfc94438a06c2a8bac7e8cc74b2,distribution-of-population-between-different-poverty-thresholds-up-to-30-dollars_v24_850x600.svg
