grapherId,slug,chartType,md5,svgFilename
797,children-who-receive-ors,undefined,c354f1e08a65be08e7173b597db42f0e,children-who-receive-ors_v12_850x600.svg
4729,share-people-vaccinated-covid,undefined,e8b3cda6779301082320bc9cdc7cf38a,share-people-vaccinated-covid_v1389_850x600.svg
3954,number-countries-legal-homosexuality,undefined,643e2bc85aebafa0fe817f619dbb7edd,number-countries-legal-homosexuality_v5_850x600.svg
3168,cross-country-variation-in-risk-taking,undefined,735c6fd3e8f28ee83e5165ef0fe2abf7,cross-country-variation-in-risk-taking_v10_850x600.svg
5891,citizen-support-for-democracy,undefined,1118b14320a54ff58b6fda960d9177a1,citizen-support-for-democracy_v12_850x600.svg
2288,prevalence-of-hiv-unaids-vs-ihme-estimates,ScatterPlot,ba4984fdb9c91e6d9e272ef22ef33611,prevalence-of-hiv-unaids-vs-ihme-estimates_v25_850x600.svg
5865,distribution-participatory-democracy-popw-vdem,Marimekko,b8e410e7e173c16472974471c1d55686,distribution-participatory-democracy-popw-vdem_v24_850x600.svg
763,share-of-births-registered,undefined,77ec615e03546e4305aa3d8555124d56,share-of-births-registered_v9_850x600.svg
551,solar-pv-prices,undefined,79ec0e251bd470cffe06cf7eae445777,solar-pv-prices_v16_850x600.svg
1432,access-to-clean-fuels-and-technologies-for-cooking,undefined,32c87c20c441fef8461b1e42ade646b8,access-to-clean-fuels-and-technologies-for-cooking_v12_850x600.svg
5092,excess-nitrogen,DiscreteBar,953dbaa61000ed601b5996e319c9c237,excess-nitrogen_v3_850x600.svg
4372,share-of-children-who-are-stunted-vs-co-emissions-per-capita,ScatterPlot,4bb8903a23547088a417a0052fc374a7,share-of-children-who-are-stunted-vs-co-emissions-per-capita_v20_850x600.svg
3157,relative-share-of-google-searches-for-causes-of-death,StackedArea,8db938ba4991e23c70f5c2ddb6ce774b,relative-share-of-google-searches-for-causes-of-death_v3_850x600.svg
2085,parties-to-multilateral-agreements-on-hazardous-waste,DiscreteBar,667a733b8c24253eb8efee75147318c7,parties-to-multilateral-agreements-on-hazardous-waste_v13_850x600.svg
4716,uk-daily-covid-admissions,undefined,13b0fc2262887162b61468739772e01d,uk-daily-covid-admissions_v751_850x600.svg
6041,deaths-due-to-unsafe-sex,undefined,f6fe1973a188ff37e5fd79cf865463e1,deaths-due-to-unsafe-sex_v5_850x600.svg
3533,child-deaths-from-invasive-non-typhoidal-salmonella,undefined,6ea83d078ef77cc7a9be6bb9c22138ca,child-deaths-from-invasive-non-typhoidal-salmonella_v17_850x600.svg
6273,cumulative-co2-including-land,undefined,b9ec9d820717c9be53a0c26c1e326cef,cumulative-co2-including-land_v5_850x600.svg
4524,energy-intensity-transport,undefined,33703ce4bd115cfb3e35cdd2168accbe,energy-intensity-transport_v4_850x600.svg
1290,world-regions-according-to-the-world-bank,undefined,64ffb9eb51713f6bcf63b8a90b571cc7,world-regions-according-to-the-world-bank_v5_850x600.svg
95,number-of-nuclear-weapons-tests,StackedBar,24c38f68e85774a3f7a0265b5b3c1997,number-of-nuclear-weapons-tests_v20_850x600.svg
2415,land-ownership-men-vs-women,ScatterPlot,0ee9e87dbcb577f3e7b56e2da19c08cc,land-ownership-men-vs-women_v13_850x600.svg
6287,electricity-as-a-share-of-primary-energy,undefined,6c3a500ef3a5a1bfc079822ac201427e,electricity-as-a-share-of-primary-energy_v7_850x600.svg
2627,share-of-females-defined-as-obese,undefined,309da68632fc8359ed2bfbc758b9fe9b,share-of-females-defined-as-obese_v11_850x600.svg
5402,annual-growth-of-imports-of-goods-and-services,undefined,c76ecac0a892c79ecc2360f8748d0d4a,annual-growth-of-imports-of-goods-and-services_v6_850x600.svg
3391,endemic-reef-forming-coral-species,DiscreteBar,6710bf91dfabee97a69cddf585dd9da0,endemic-reef-forming-coral-species_v10_850x600.svg
2243,number-of-people-with-cancer-by-age,StackedArea,40a38f0512c9360e40a4c8f082168096,number-of-people-with-cancer-by-age_v11_850x600.svg
338,top-income-tax-rates-piketty,undefined,39112dbb0b97eb5b15c92adb4f8fb88a,top-income-tax-rates-piketty_v3_850x600.svg
5066,covid-variants-area,StackedArea,fd2e2c76ed804ec5672c4eb710f5cc9a,covid-variants-area_v665_850x600.svg
4386,annual-percentage-change-nuclear,undefined,00d2718e3b132a15c0502d10f25b074b,annual-percentage-change-nuclear_v14_850x600.svg
936,hidden-hunger-index-vs-gdp-per-capita,ScatterPlot,7aee06054e18e96b4cd3c40309c9f387,hidden-hunger-index-vs-gdp-per-capita_v21_850x600.svg
2071,total-assistance-for-development-by-recipient,undefined,62d2672b8689e3a5620f211c05930bf2,total-assistance-for-development-by-recipient_v17_850x600.svg
556,share-of-people-who-say-they-are-happy,undefined,95e10bb318deca2383a434aaa31bafb4,share-of-people-who-say-they-are-happy_v4_850x600.svg
5608,share-democracies-autocracies-row,StackedArea,e7f49da4ebd148a8767ec47e00f6e005,share-democracies-autocracies-row_v26_850x600.svg
5862,distribution-liberal-democracy-popw-vdem,Marimekko,50ef0d3ed8d85aca1567b5848592f5f6,distribution-liberal-democracy-popw-vdem_v19_850x600.svg
300,literate-and-illiterate-world-population,StackedArea,2fe6ff6a887b5f8af45e416ffba18fb7,literate-and-illiterate-world-population_v7_850x600.svg
2049,total-oda-for-water-supply-and-sanitation-by-recipient,undefined,be40156ed5be249a195aaa1e1f417301,total-oda-for-water-supply-and-sanitation-by-recipient_v17_850x600.svg
4178,public-gathering-rules-covid,undefined,ef081d421bc4144d1baadf7dc7865ed8,public-gathering-rules-covid_v2750_850x600.svg
3953,eutrophying-emissions-kcal,DiscreteBar,88e5b956bd778b8b0b35357df6faa4e7,eutrophying-emissions-kcal_v13_850x600.svg
2881,plastic-waste-generation-total,DiscreteBar,0ed660ef545637f5e6788705580fde5f,plastic-waste-generation-total_v6_850x600.svg
5298,net-zero-targets,DiscreteBar,3d5d20c28e665fb6712b675848b473ab,net-zero-targets_v14_850x600.svg
6079,deaths-from-meningitis,undefined,686026cd89f6db7d08bfc2a2d3bb8dab,deaths-from-meningitis_v2_850x600.svg
790,share-of-children-underweight,undefined,a62b378e6245badb0a70270097541981,share-of-children-underweight_v17_850x600.svg
3739,neonatal-deaths-by-cause,undefined,e9d71c06ae5ef281bd51d3d4d82e4894,neonatal-deaths-by-cause_v12_850x600.svg
